id,state,district,latitude,longitude,rainfall_24h,soil_moisture,slope,elevation,landslide_history,landslide
41,Sikkim,Mangan,27.5095,88.5362,137,65,15,2285,0,0
42,Sikkim,Mangan,27.5095,88.5362,196,66,27,1171,1,1
43,Meghalaya,Shillong,25.5788,91.8933,174,42,27,2749,1,1
44,Meghalaya,Tura,25.514,90.202,145,82,27,1051,1,0
45,Meghalaya,Shillong,25.5788,91.8933,13,82,48,2855,1,1
46,Sikkim,Gangtok,27.3389,88.6065,69,79,19,2577,1,1
47,Sikkim,Gangtok,27.3389,88.6065,168,45,43,147,0,1
48,Mizoram,Aizawl,23.7271,92.7176,95,60,24,668,0,0
49,Sikkim,Gangtok,27.3389,88.6065,68,44,6,824,0,0
50,Meghalaya,Shillong,25.5788,91.8933,200,21,16,2742,0,1
51,Sikkim,Mangan,27.5095,88.5362,73,94,20,1367,0,1
52,Meghalaya,Shillong,25.5788,91.8933,148,77,9,2110,1,1
53,Nagaland,Kohima,25.6751,94.1086,130,23,11,992,0,0
54,Nagaland,Kohima,25.6751,94.1086,250,77,19,1576,1,1
55,Mizoram,Aizawl,23.7271,92.7176,35,37,19,2324,1,1
56,Meghalaya,Shillong,25.5788,91.8933,145,45,50,749,1,0
57,Sikkim,Gangtok,27.3389,88.6065,51,41,48,2592,0,1
58,Meghalaya,Shillong,25.5788,91.8933,90,56,27,1550,0,0
59,Mizoram,Aizawl,23.7271,92.7176,36,28,37,2971,0,1
60,Nagaland,Kohima,25.6751,94.1086,236,88,31,1154,0,0
61,Mizoram,Aizawl,23.7271,92.7176,224,77,32,533,0,1
62,Mizoram,Aizawl,23.7271,92.7176,124,55,26,1384,1,0
63,Meghalaya,Tura,25.514,90.202,222,23,6,1200,0,1
64,Nagaland,Kohima,25.6751,94.1086,239,81,25,2000,1,1
65,Mizoram,Aizawl,23.7271,92.7176,169,85,7,2533,0,1
66,Sikkim,Mangan,27.5095,88.5362,117,90,34,653,1,1
67,Sikkim,Mangan,27.5095,88.5362,122,58,9,2858,0,1
68,Meghalaya,Shillong,25.5788,91.8933,12,62,48,1776,0,0
69,Sikkim,Gangtok,27.3389,88.6065,116,31,9,1876,1,1
70,Meghalaya,Tura,25.514,90.202,101,49,48,1389,0,1
71,Sikkim,Gangtok,27.3389,88.6065,189,78,33,1099,0,1
72,Meghalaya,Tura,25.514,90.202,239,95,6,1262,0,1
73,Meghalaya,Tura,25.514,90.202,40,81,21,340,0,1
74,Sikkim,Gangtok,27.3389,88.6065,116,31,33,997,0,1
75,Meghalaya,Shillong,25.5788,91.8933,30,72,19,1677,0,0
76,Meghalaya,Shillong,25.5788,91.8933,169,49,50,1848,1,1
77,Sikkim,Mangan,27.5095,88.5362,110,24,14,721,1,1
78,Sikkim,Gangtok,27.3389,88.6065,110,36,46,2605,0,1
79,Sikkim,Mangan,27.5095,88.5362,69,58,9,1934,0,0
80,Sikkim,Gangtok,27.3389,88.6065,74,29,22,1056,1,0
81,Sikkim,Gangtok,27.3389,88.6065,109,95,10,2218,1,1
82,Nagaland,Kohima,25.6751,94.1086,18,58,49,2520,1,0
83,Meghalaya,Tura,25.514,90.202,164,61,35,2878,1,1
84,Sikkim,Mangan,27.5095,88.5362,59,31,22,2976,0,0
85,Nagaland,Kohima,25.6751,94.1086,191,38,36,262,1,1
86,Mizoram,Aizawl,23.7271,92.7176,232,85,19,2387,0,1
87,Nagaland,Kohima,25.6751,94.1086,186,62,20,2967,0,1
88,Mizoram,Aizawl,23.7271,92.7176,176,83,7,2672,1,1
89,Meghalaya,Shillong,25.5788,91.8933,163,20,37,2596,1,1
90,Meghalaya,Shillong,25.5788,91.8933,68,41,48,1822,0,0
91,Sikkim,Gangtok,27.3389,88.6065,20,36,16,773,1,0
92,Meghalaya,Shillong,25.5788,91.8933,250,45,24,2582,1,1
93,Meghalaya,Tura,25.514,90.202,152,38,47,2503,0,0
94,Nagaland,Kohima,25.6751,94.1086,147,60,10,928,1,0
95,Mizoram,Aizawl,23.7271,92.7176,172,68,43,2656,0,1
96,Nagaland,Kohima,25.6751,94.1086,46,58,41,2739,0,1
97,Meghalaya,Shillong,25.5788,91.8933,13,70,30,489,0,0
98,Sikkim,Mangan,27.5095,88.5362,159,38,9,1187,0,1
99,Meghalaya,Shillong,25.5788,91.8933,85,21,44,1922,1,0
100,Nagaland,Kohima,25.6751,94.1086,60,42,9,2503,0,1
101,Sikkim,Mangan,27.5095,88.5362,202,52,28,1257,1,0
102,Nagaland,Kohima,25.6751,94.1086,202,84,34,119,0,1
103,Sikkim,Mangan,27.5095,88.5362,171,28,18,414,0,1
104,Nagaland,Kohima,25.6751,94.1086,117,48,38,2370,0,0
105,Mizoram,Aizawl,23.7271,92.7176,199,86,31,2276,0,1
106,Mizoram,Aizawl,23.7271,92.7176,39,53,31,2415,0,0
107,Nagaland,Kohima,25.6751,94.1086,236,40,45,2171,1,1
108,Nagaland,Kohima,25.6751,94.1086,249,91,19,1101,0,1
109,Sikkim,Gangtok,27.3389,88.6065,62,50,20,2132,1,1
110,Sikkim,Mangan,27.5095,88.5362,143,89,21,510,0,0
111,Nagaland,Kohima,25.6751,94.1086,67,51,37,1933,1,0
112,Meghalaya,Shillong,25.5788,91.8933,227,75,37,2950,0,1
113,Meghalaya,Tura,25.514,90.202,68,34,12,1996,0,0
114,Meghalaya,Shillong,25.5788,91.8933,41,40,8,1535,1,0
115,Nagaland,Kohima,25.6751,94.1086,143,50,31,1381,1,0
116,Nagaland,Kohima,25.6751,94.1086,112,86,41,2067,1,1
117,Meghalaya,Tura,25.514,90.202,215,92,37,1312,1,1
118,Sikkim,Mangan,27.5095,88.5362,144,89,39,1977,0,1
119,Mizoram,Aizawl,23.7271,92.7176,96,70,16,1695,0,1
120,Sikkim,Gangtok,27.3389,88.6065,188,20,29,2652,1,0
121,Meghalaya,Shillong,25.5788,91.8933,207,66,23,506,1,1
122,Meghalaya,Shillong,25.5788,91.8933,176,34,43,716,0,1
123,Nagaland,Kohima,25.6751,94.1086,73,55,20,937,1,1
124,Sikkim,Gangtok,27.3389,88.6065,70,52,48,1810,1,1
125,Sikkim,Mangan,27.5095,88.5362,217,42,35,2325,0,1
126,Sikkim,Mangan,27.5095,88.5362,232,52,31,2220,1,1
127,Meghalaya,Tura,25.514,90.202,135,86,8,2432,1,1
128,Nagaland,Kohima,25.6751,94.1086,165,95,20,878,0,1
129,Sikkim,Mangan,27.5095,88.5362,86,26,42,1335,0,1
130,Nagaland,Kohima,25.6751,94.1086,57,56,27,2260,1,0
131,Meghalaya,Shillong,25.5788,91.8933,96,52,14,1016,0,1
132,Sikkim,Mangan,27.5095,88.5362,37,71,46,2252,0,1
133,Meghalaya,Tura,25.514,90.202,24,34,23,1238,0,0
134,Sikkim,Mangan,27.5095,88.5362,190,39,26,2440,1,1
135,Nagaland,Kohima,25.6751,94.1086,41,36,39,1981,0,0
136,Sikkim,Mangan,27.5095,88.5362,153,62,44,2897,0,0
137,Meghalaya,Shillong,25.5788,91.8933,64,62,29,337,1,0
138,Meghalaya,Shillong,25.5788,91.8933,74,44,13,1492,0,0
139,Sikkim,Gangtok,27.3389,88.6065,241,26,49,2694,0,1
140,Sikkim,Mangan,27.5095,88.5362,237,59,41,2833,1,1
141,Sikkim,Gangtok,27.3389,88.6065,45,77,47,159,0,1
142,Nagaland,Kohima,25.6751,94.1086,112,61,6,2006,1,0
143,Sikkim,Mangan,27.5095,88.5362,49,50,17,1193,1,1
144,Meghalaya,Shillong,25.5788,91.8933,199,52,23,1136,0,0
145,Meghalaya,Shillong,25.5788,91.8933,26,56,16,2245,0,1
146,Sikkim,Mangan,27.5095,88.5362,133,75,30,781,1,0
147,Mizoram,Aizawl,23.7271,92.7176,110,52,44,518,0,0
148,Sikkim,Gangtok,27.3389,88.6065,243,43,44,2033,1,1
149,Meghalaya,Shillong,25.5788,91.8933,215,27,37,371,0,1
150,Meghalaya,Shillong,25.5788,91.8933,92,74,12,2637,0,0
151,Nagaland,Kohima,25.6751,94.1086,234,48,40,1893,0,1
152,Meghalaya,Tura,25.514,90.202,139,83,19,860,1,1
153,Meghalaya,Shillong,25.5788,91.8933,25,20,12,495,0,0
154,Mizoram,Aizawl,23.7271,92.7176,45,29,12,765,1,0
155,Meghalaya,Tura,25.514,90.202,204,69,42,150,1,1
156,Mizoram,Aizawl,23.7271,92.7176,80,87,44,2365,0,1
157,Nagaland,Kohima,25.6751,94.1086,44,53,36,1266,0,1
158,Nagaland,Kohima,25.6751,94.1086,88,49,36,2483,1,0
159,Meghalaya,Tura,25.514,90.202,125,64,23,2141,1,0
160,Nagaland,Kohima,25.6751,94.1086,217,21,9,1204,0,1
161,Nagaland,Kohima,25.6751,94.1086,244,30,15,2021,0,0
162,Meghalaya,Tura,25.514,90.202,226,78,37,1252,1,1
163,Sikkim,Mangan,27.5095,88.5362,232,63,25,1255,1,1
164,Meghalaya,Shillong,25.5788,91.8933,211,30,34,166,1,1
165,Nagaland,Kohima,25.6751,94.1086,154,31,18,1968,0,1
166,Nagaland,Kohima,25.6751,94.1086,149,50,29,2715,1,1
167,Nagaland,Kohima,25.6751,94.1086,80,29,17,312,1,0
168,Nagaland,Kohima,25.6751,94.1086,131,29,33,2566,1,1
169,Meghalaya,Tura,25.514,90.202,101,46,36,1658,1,1
170,Sikkim,Gangtok,27.3389,88.6065,218,31,46,649,1,1
171,Meghalaya,Shillong,25.5788,91.8933,123,26,5,868,1,1
172,Meghalaya,Tura,25.514,90.202,218,90,32,1739,1,1
173,Sikkim,Gangtok,27.3389,88.6065,185,35,6,1199,1,1
174,Sikkim,Mangan,27.5095,88.5362,156,52,37,1236,0,1
175,Nagaland,Kohima,25.6751,94.1086,222,73,9,617,0,1
176,Sikkim,Gangtok,27.3389,88.6065,44,83,18,1643,0,1
177,Sikkim,Mangan,27.5095,88.5362,165,56,32,2407,1,1
178,Nagaland,Kohima,25.6751,94.1086,50,94,25,808,0,1
179,Meghalaya,Tura,25.514,90.202,69,43,26,1368,1,0
180,Nagaland,Kohima,25.6751,94.1086,62,55,28,1725,1,0
181,Meghalaya,Tura,25.514,90.202,118,72,40,136,1,1
182,Meghalaya,Shillong,25.5788,91.8933,153,66,48,2230,1,0
183,Mizoram,Aizawl,23.7271,92.7176,60,44,26,1072,0,0
184,Sikkim,Mangan,27.5095,88.5362,206,55,5,1207,1,1
185,Meghalaya,Tura,25.514,90.202,46,22,12,1527,1,0
186,Sikkim,Mangan,27.5095,88.5362,121,67,26,2286,1,0
187,Meghalaya,Tura,25.514,90.202,134,35,5,371,0,0
188,Nagaland,Kohima,25.6751,94.1086,82,60,21,953,1,0
189,Nagaland,Kohima,25.6751,94.1086,77,39,21,2934,0,0
190,Meghalaya,Tura,25.514,90.202,240,62,7,335,0,1
191,Mizoram,Aizawl,23.7271,92.7176,131,67,31,2074,1,1
192,Meghalaya,Tura,25.514,90.202,43,21,34,497,0,0
193,Nagaland,Kohima,25.6751,94.1086,39,95,40,1836,0,0
194,Meghalaya,Shillong,25.5788,91.8933,135,29,32,923,0,0
195,Mizoram,Aizawl,23.7271,92.7176,84,66,46,660,0,1
196,Nagaland,Kohima,25.6751,94.1086,53,94,45,1663,0,1
197,Sikkim,Mangan,27.5095,88.5362,154,55,11,418,0,1
198,Meghalaya,Tura,25.514,90.202,32,88,25,1424,1,0
199,Meghalaya,Tura,25.514,90.202,148,58,11,2005,1,1
200,Mizoram,Aizawl,23.7271,92.7176,126,33,23,1228,1,0
201,Meghalaya,Shillong,25.5788,91.8933,152,68,7,1290,0,0
202,Meghalaya,Shillong,25.5788,91.8933,208,85,49,2533,0,1
203,Mizoram,Aizawl,23.7271,92.7176,63,25,20,571,1,1
204,Nagaland,Kohima,25.6751,94.1086,137,56,31,482,0,1
205,Sikkim,Mangan,27.5095,88.5362,41,92,10,135,0,1
206,Meghalaya,Tura,25.514,90.202,115,35,9,855,1,0
207,Nagaland,Kohima,25.6751,94.1086,188,58,48,135,0,1
208,Mizoram,Aizawl,23.7271,92.7176,205,74,34,2832,0,0
209,Nagaland,Kohima,25.6751,94.1086,106,90,5,2327,1,1
210,Nagaland,Kohima,25.6751,94.1086,138,48,32,2241,1,0
211,Nagaland,Kohima,25.6751,94.1086,23,43,37,1626,0,0
212,Meghalaya,Tura,25.514,90.202,18,77,33,2676,1,1
213,Nagaland,Kohima,25.6751,94.1086,134,54,29,1418,0,1
214,Mizoram,Aizawl,23.7271,92.7176,131,49,21,1501,1,1
215,Nagaland,Kohima,25.6751,94.1086,52,24,25,2893,0,0
216,Sikkim,Gangtok,27.3389,88.6065,17,30,44,679,0,0
217,Meghalaya,Shillong,25.5788,91.8933,231,75,18,863,1,1
218,Meghalaya,Shillong,25.5788,91.8933,229,49,18,2959,0,1
219,Sikkim,Gangtok,27.3389,88.6065,166,27,16,933,0,1
220,Meghalaya,Shillong,25.5788,91.8933,25,50,6,1838,1,0
221,Nagaland,Kohima,25.6751,94.1086,193,80,45,480,1,1
222,Sikkim,Gangtok,27.3389,88.6065,168,24,45,1362,0,0
223,Meghalaya,Shillong,25.5788,91.8933,41,94,34,822,1,0
224,Nagaland,Kohima,25.6751,94.1086,202,56,15,2601,0,1
225,Mizoram,Aizawl,23.7271,92.7176,78,64,7,1652,1,1
226,Meghalaya,Shillong,25.5788,91.8933,133,56,17,1196,1,0
227,Sikkim,Mangan,27.5095,88.5362,71,41,39,1442,0,1
228,Mizoram,Aizawl,23.7271,92.7176,181,88,5,1557,0,0
229,Meghalaya,Shillong,25.5788,91.8933,243,27,44,2234,1,1
230,Mizoram,Aizawl,23.7271,92.7176,238,94,35,1734,0,1
231,Sikkim,Mangan,27.5095,88.5362,25,51,27,2790,0,0
232,Nagaland,Kohima,25.6751,94.1086,213,45,25,1447,1,0
233,Mizoram,Aizawl,23.7271,92.7176,130,49,47,2716,1,0
234,Nagaland,Kohima,25.6751,94.1086,224,28,24,1604,0,1
235,Nagaland,Kohima,25.6751,94.1086,213,20,32,1510,0,1
236,Nagaland,Kohima,25.6751,94.1086,248,45,12,1530,1,1
237,Sikkim,Gangtok,27.3389,88.6065,141,57,15,375,1,0
238,Meghalaya,Tura,25.514,90.202,89,28,35,639,0,0
239,Sikkim,Mangan,27.5095,88.5362,154,34,49,2831,1,1
240,Sikkim,Mangan,27.5095,88.5362,146,77,14,1253,1,1
241,Mizoram,Aizawl,23.7271,92.7176,86,49,8,1258,0,0
242,Sikkim,Mangan,27.5095,88.5362,219,63,12,1219,1,1
243,Sikkim,Gangtok,27.3389,88.6065,242,22,25,1205,1,0
244,Meghalaya,Tura,25.514,90.202,24,26,19,1477,0,0
245,Sikkim,Gangtok,27.3389,88.6065,171,75,6,1071,0,0
246,Meghalaya,Shillong,25.5788,91.8933,199,44,31,567,1,1
247,Sikkim,Gangtok,27.3389,88.6065,94,73,36,2663,0,1
248,Sikkim,Gangtok,27.3389,88.6065,137,36,45,705,1,1
249,Meghalaya,Shillong,25.5788,91.8933,157,89,24,2508,1,0
250,Sikkim,Gangtok,27.3389,88.6065,186,58,15,1279,0,1
251,Nagaland,Kohima,25.6751,94.1086,221,39,15,924,1,1
252,Meghalaya,Tura,25.514,90.202,168,74,12,1883,0,1
253,Sikkim,Mangan,27.5095,88.5362,125,21,41,242,1,1
254,Meghalaya,Tura,25.514,90.202,165,78,18,784,0,1
255,Meghalaya,Shillong,25.5788,91.8933,119,87,40,242,1,1
256,Meghalaya,Tura,25.514,90.202,155,95,45,2190,1,1
257,Sikkim,Mangan,27.5095,88.5362,80,92,11,901,1,0
258,Meghalaya,Shillong,25.5788,91.8933,24,23,17,1000,1,0
259,Nagaland,Kohima,25.6751,94.1086,208,75,5,1730,1,1
260,Sikkim,Mangan,27.5095,88.5362,20,78,8,1371,0,0
261,Sikkim,Mangan,27.5095,88.5362,20,37,46,928,1,1
262,Meghalaya,Tura,25.514,90.202,241,47,27,135,0,1
263,Mizoram,Aizawl,23.7271,92.7176,222,94,21,457,1,1
264,Nagaland,Kohima,25.6751,94.1086,80,69,50,2254,0,0
265,Meghalaya,Shillong,25.5788,91.8933,195,22,44,1619,1,0
266,Mizoram,Aizawl,23.7271,92.7176,161,62,43,2271,1,0
267,Sikkim,Gangtok,27.3389,88.6065,155,76,50,2150,1,0
268,Nagaland,Kohima,25.6751,94.1086,71,74,12,1278,0,0
269,Nagaland,Kohima,25.6751,94.1086,125,67,31,767,1,1
270,Sikkim,Mangan,27.5095,88.5362,70,40,17,171,0,1
271,Mizoram,Aizawl,23.7271,92.7176,213,87,38,2353,1,1
272,Sikkim,Mangan,27.5095,88.5362,101,92,31,384,0,1
273,Meghalaya,Tura,25.514,90.202,109,72,33,1726,1,1
274,Sikkim,Mangan,27.5095,88.5362,16,31,11,631,1,0
275,Sikkim,Gangtok,27.3389,88.6065,225,60,49,284,0,1
276,Nagaland,Kohima,25.6751,94.1086,34,31,10,2950,1,0
277,Sikkim,Mangan,27.5095,88.5362,32,23,50,2440,0,0
278,Sikkim,Mangan,27.5095,88.5362,197,87,48,2558,1,0
279,Sikkim,Gangtok,27.3389,88.6065,154,83,32,1367,1,1
280,Mizoram,Aizawl,23.7271,92.7176,204,26,20,2300,0,0
281,Nagaland,Kohima,25.6751,94.1086,76,69,43,1288,0,1
282,Nagaland,Kohima,25.6751,94.1086,98,76,24,2857,1,1
283,Nagaland,Kohima,25.6751,94.1086,24,51,50,110,0,0
284,Meghalaya,Shillong,25.5788,91.8933,206,49,10,881,0,0
285,Nagaland,Kohima,25.6751,94.1086,238,85,19,1798,1,1
286,Mizoram,Aizawl,23.7271,92.7176,28,56,11,2797,1,0
287,Sikkim,Gangtok,27.3389,88.6065,134,52,35,2827,1,0
288,Nagaland,Kohima,25.6751,94.1086,221,72,43,2355,1,1
289,Sikkim,Mangan,27.5095,88.5362,61,71,15,2720,0,1
290,Nagaland,Kohima,25.6751,94.1086,204,53,34,1144,0,0
291,Meghalaya,Tura,25.514,90.202,142,54,42,1070,1,1
292,Sikkim,Gangtok,27.3389,88.6065,21,48,25,1971,0,0
293,Nagaland,Kohima,25.6751,94.1086,250,27,15,1740,1,1
294,Meghalaya,Tura,25.514,90.202,20,40,41,1748,1,0
295,Meghalaya,Tura,25.514,90.202,119,54,12,2228,1,1
296,Meghalaya,Shillong,25.5788,91.8933,36,52,34,909,1,1
297,Meghalaya,Tura,25.514,90.202,216,63,34,1012,0,1
298,Sikkim,Mangan,27.5095,88.5362,212,87,41,1793,0,1
299,Meghalaya,Tura,25.514,90.202,139,45,13,2619,1,0
300,Meghalaya,Shillong,25.5788,91.8933,158,49,48,909,0,0
301,Meghalaya,Shillong,25.5788,91.8933,212,57,18,2807,1,0
302,Mizoram,Aizawl,23.7271,92.7176,35,20,30,2113,1,0
303,Nagaland,Kohima,25.6751,94.1086,173,79,30,1467,0,1
304,Meghalaya,Tura,25.514,90.202,59,59,8,1764,1,1
305,Meghalaya,Shillong,25.5788,91.8933,167,78,47,759,1,1
306,Mizoram,Aizawl,23.7271,92.7176,95,45,26,1074,1,0
307,Sikkim,Gangtok,27.3389,88.6065,99,50,35,1447,0,0
308,Mizoram,Aizawl,23.7271,92.7176,116,43,15,1536,1,0
309,Nagaland,Kohima,25.6751,94.1086,73,36,26,2460,1,1
310,Sikkim,Mangan,27.5095,88.5362,39,91,37,2966,0,0
311,Meghalaya,Shillong,25.5788,91.8933,157,36,25,817,0,1
312,Meghalaya,Shillong,25.5788,91.8933,60,25,27,1799,0,0
313,Sikkim,Mangan,27.5095,88.5362,120,24,39,537,0,1
314,Sikkim,Gangtok,27.3389,88.6065,149,78,20,537,1,0
315,Sikkim,Gangtok,27.3389,88.6065,151,55,34,450,0,0
316,Sikkim,Mangan,27.5095,88.5362,160,94,37,2211,0,0
317,Sikkim,Mangan,27.5095,88.5362,74,22,50,814,0,1
318,Meghalaya,Shillong,25.5788,91.8933,183,54,12,694,0,1
319,Nagaland,Kohima,25.6751,94.1086,217,30,39,775,1,1
320,Sikkim,Mangan,27.5095,88.5362,134,20,8,2587,1,1
321,Meghalaya,Shillong,25.5788,91.8933,184,74,22,1346,1,1
322,Meghalaya,Shillong,25.5788,91.8933,109,20,40,2188,1,0
323,Sikkim,Gangtok,27.3389,88.6065,144,70,39,2541,1,0
324,Nagaland,Kohima,25.6751,94.1086,31,77,25,373,1,1
325,Sikkim,Mangan,27.5095,88.5362,144,79,38,534,1,0
326,Meghalaya,Tura,25.514,90.202,89,83,25,724,1,1
327,Mizoram,Aizawl,23.7271,92.7176,88,71,21,201,1,0
328,Meghalaya,Shillong,25.5788,91.8933,70,37,13,1701,1,1
329,Nagaland,Kohima,25.6751,94.1086,167,80,48,2750,1,1
330,Nagaland,Kohima,25.6751,94.1086,194,86,20,1256,0,1
331,Meghalaya,Tura,25.514,90.202,36,59,46,1557,1,0
332,Sikkim,Mangan,27.5095,88.5362,200,52,17,1184,1,0
333,Nagaland,Kohima,25.6751,94.1086,227,78,34,363,1,1
334,Mizoram,Aizawl,23.7271,92.7176,216,57,9,1179,0,0
335,Meghalaya,Shillong,25.5788,91.8933,14,70,19,2124,1,0
336,Meghalaya,Tura,25.514,90.202,240,22,28,166,0,1
337,Mizoram,Aizawl,23.7271,92.7176,147,91,31,2486,1,1
338,Sikkim,Mangan,27.5095,88.5362,30,52,48,1696,0,0
339,Meghalaya,Tura,25.514,90.202,144,51,30,2235,0,1
340,Meghalaya,Shillong,25.5788,91.8933,215,28,24,2522,0,0
341,Nagaland,Kohima,25.6751,94.1086,55,87,48,2043,1,1
342,Meghalaya,Tura,25.514,90.202,15,74,23,1795,1,0
343,Sikkim,Gangtok,27.3389,88.6065,177,88,36,2689,0,0
344,Mizoram,Aizawl,23.7271,92.7176,12,43,31,629,1,0
345,Sikkim,Gangtok,27.3389,88.6065,89,40,7,1462,1,1
346,Meghalaya,Tura,25.514,90.202,11,85,46,2723,1,0
347,Meghalaya,Shillong,25.5788,91.8933,78,72,20,973,0,0
348,Mizoram,Aizawl,23.7271,92.7176,146,89,18,2132,0,1
349,Mizoram,Aizawl,23.7271,92.7176,225,66,17,2112,1,1
350,Nagaland,Kohima,25.6751,94.1086,115,70,30,2980,0,1
351,Mizoram,Aizawl,23.7271,92.7176,56,67,30,1433,0,1
352,Sikkim,Gangtok,27.3389,88.6065,241,94,35,2792,1,1
353,Sikkim,Mangan,27.5095,88.5362,11,33,24,1391,0,0
354,Meghalaya,Shillong,25.5788,91.8933,170,20,26,2776,1,1
355,Mizoram,Aizawl,23.7271,92.7176,220,79,27,827,0,1
356,Nagaland,Kohima,25.6751,94.1086,211,21,26,1808,1,1
357,Sikkim,Mangan,27.5095,88.5362,150,26,38,1158,0,1
358,Mizoram,Aizawl,23.7271,92.7176,214,33,15,234,0,1
359,Meghalaya,Tura,25.514,90.202,137,60,50,2099,0,0
360,Meghalaya,Shillong,25.5788,91.8933,226,33,9,2060,1,1
361,Nagaland,Kohima,25.6751,94.1086,51,86,29,1871,0,0
362,Sikkim,Gangtok,27.3389,88.6065,33,82,34,1365,0,0
363,Mizoram,Aizawl,23.7271,92.7176,101,83,31,474,0,1
364,Nagaland,Kohima,25.6751,94.1086,138,92,5,995,1,1
365,Meghalaya,Tura,25.514,90.202,55,55,37,1215,1,1
366,Meghalaya,Tura,25.514,90.202,29,29,28,518,0,0
367,Sikkim,Gangtok,27.3389,88.6065,106,94,27,249,1,1
368,Mizoram,Aizawl,23.7271,92.7176,192,68,5,1978,0,1
369,Sikkim,Gangtok,27.3389,88.6065,103,27,5,2706,1,0
370,Sikkim,Gangtok,27.3389,88.6065,170,63,24,2269,0,1
371,Meghalaya,Tura,25.514,90.202,150,52,5,1665,0,1
372,Nagaland,Kohima,25.6751,94.1086,215,76,10,1907,0,1
373,Sikkim,Gangtok,27.3389,88.6065,35,41,19,1169,0,0
374,Sikkim,Gangtok,27.3389,88.6065,130,37,29,2729,1,1
375,Mizoram,Aizawl,23.7271,92.7176,38,83,33,166,1,0
376,Nagaland,Kohima,25.6751,94.1086,61,91,17,1645,1,0
377,Nagaland,Kohima,25.6751,94.1086,47,63,41,139,0,0
378,Sikkim,Mangan,27.5095,88.5362,217,90,41,1505,1,1
379,Meghalaya,Tura,25.514,90.202,94,87,12,437,1,0
380,Sikkim,Gangtok,27.3389,88.6065,241,38,22,1579,0,1
381,Nagaland,Kohima,25.6751,94.1086,123,59,28,1665,1,0
382,Meghalaya,Shillong,25.5788,91.8933,176,85,8,1475,0,1
383,Mizoram,Aizawl,23.7271,92.7176,78,82,5,633,0,0
384,Meghalaya,Tura,25.514,90.202,82,66,24,2046,0,1
385,Meghalaya,Tura,25.514,90.202,104,81,46,1491,0,1
386,Sikkim,Mangan,27.5095,88.5362,240,52,41,1905,0,1
387,Sikkim,Gangtok,27.3389,88.6065,12,77,16,2737,1,0
388,Sikkim,Gangtok,27.3389,88.6065,210,72,42,2821,0,1
